id,title,company,description,required_skills,spots_available,salary
36,Aerospace Software Engineer,AeroTech,"Develop software for aerospace applications and flight control systems","C++, Aerospace, Real-time Systems",2,7200
37,Biotechnology Developer,BioTech,"Develop software for biological research and genetic analysis applications","Python, Bioinformatics, Biology",2,5600
38,Energy Systems Analyst,EnergyCorp,"Analyze energy data and develop solutions for renewable energy optimization","Python, Energy Systems, Analytics",2,5000
39,Autonomous Vehicle Developer,AutoDrive,"Develop software for autonomous vehicles and self-driving car systems","C++, Computer Vision, Robotics",1,7500
40,Space Technology Developer,SpaceTech,"Develop software for satellite systems and space exploration applications","Python, Space Technology, Satellite",1,7800
41,Pharmaceutical Data Analyst,PharmaTech,"Analyze pharmaceutical data and develop drug discovery algorithms","Python, Pharmaceutical Research, Statistics",2,5400
42,Agricultural Technology Developer,AgriTech,"Develop smart farming solutions and precision agriculture applications","Python, IoT, Agricultural Technology",2,4800
43,Digital Art Developer,CreativeTech,"Create digital art tools and develop creative coding applications","Python, Creative Coding, Digital Art",2,4200
44,Social Media Analytics Developer,SocialTech,"Build social media analysis tools and sentiment analysis platforms","Python, Social Media Analytics, NLP",2,4600
45,E-commerce Developer,EcommerceCorp,"Develop e-commerce platforms and payment processing systems","JavaScript, E-commerce, Payment Processing",3,4800
46,Real Estate Technology Developer,RealEstateTech,"Build real estate platforms and property management systems","JavaScript, Real Estate, Property Management",2,4500
47,Entertainment Technology Developer,EntertainmentTech,"Develop entertainment applications and media streaming platforms","JavaScript, Entertainment, Media Streaming",2,4400
48,Sports Analytics Developer,SportsTech,"Build sports analytics platforms and performance tracking systems","Python, Sports Analytics, Statistics",2,4600
49,Legal Technology Developer,LegalTech,"Develop legal software and contract analysis tools","Python, Legal Technology, Document Analysis",2,5200
50,Non-Profit Technology Developer,NonProfitTech,"Build technology solutions for non-profit organizations and social impact projects","JavaScript, Non-Profit, Social Impact",2,4000
